Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
0018971043363ee55246259db009e255	k__Animalia	p__Arthropoda	c__Arachnida	o__Sarcoptiformes	f__	g__	s__
002198558456ababda169de0a07b37a4	k__Animalia	p__Arthropoda					
003dd94a9ced89aca49b6ba5b1345cb2	k__Animalia	p__Arthropoda	c__Insecta	o__Lepidoptera			
003f059e8311f425a83296c7b8f0ea7d	k__Animalia	p__Arthropoda	c__Insecta	o__Psocodea			
0053d49428e61052b864ef9dc9fbc4ca	k__Animalia	p__Arthropoda					
00631c8cd01a890068d746419ef20c6c	k__Animalia	p__Arthropoda	c__Insecta				
0067db6636a8698305a902e3d7d4f772	k__Animalia	p__Arthropoda					
006f51e9fe0335db029a582df99f94bb	k__Animalia	p__Arthropoda	c__Insecta	o__Diptera			
007239c692b714ccbd8203c86f4fe41f	k__Animalia	p__Arthropoda	c__Insecta				
0079e8f6a3db0a6f8ab52d621edf42ed	k__Animalia	p__Arthropoda	c__Arachnida	o__Araneae			
00849e0f85ec9d862d23518943d2f7fb	k__Animalia	p__Arthropoda	c__Insecta	o__Lepidoptera			
00851b4f884c82006772a564794a7d2d	k__Animalia	p__Arthropoda	c__Insecta	o__Hymenoptera	f__Braconidae		
009aa31bc2b7956bf6fbae7dc02fc839	k__Animalia	p__Arthropoda	c__Arachnida	o__Araneae	f__Theridiidae	g__Theridion	s__Theridion grallator
00dde915a8e7a5f22b16bb96a28b5e9f	k__Animalia	p__Arthropoda	c__Insecta	o__Lepidoptera			
00efa17f06dd9738c94f0a74ddc0190b	k__Animalia	p__Arthropoda	c__Insecta	o__Lepidoptera			
0113e203066dff763b12e3bafce9f127	k__Animalia	p__Arthropoda	c__Insecta	o__Lepidoptera			
012bbd89bc9931bf1d1cf1e0a5a36920	k__Animalia	p__Arthropoda					
01349ef17047be45ea6cdaa5ac27251b	k__Animalia	p__Arthropoda	c__Insecta	o__Hemiptera	f__Psyllidae	g__	s__
013c60ced404f618257c6893922f8571	k__Animalia	p__Arthropoda					
01418ad26600bdbf2d363af9c2757b8f	k__Animalia	p__Arthropoda	c__Insecta	o__Lepidoptera			
014d1e8e7b9e69d60b351f4165d41873	k__Animalia	p__Arthropoda	c__Insecta	o__Hymenoptera			
014dc09bd3b203ab7ae4876c472e49b8	k__Animalia	p__Arthropoda					
014f744e1ed28ed05597788a23a2b1b7	k__Animalia	p__Arthropoda	c__Insecta	o__Hymenoptera			
015faf49e042ce49a1c4879121964310	k__Animalia	p__Arthropoda	c__Collembola	o__Entomobryomorpha	f__Entomobryidae	g__Entomobrya	s__Entomobrya albocincta
017137747a9b7674bb9a34772ec6de0a	k__Animalia	p__Arthropoda	c__Insecta	o__Hemiptera	f__Aphididae		
01741f1e4702133a8f4b5d0a9fa8c1ea	k__Animalia	p__Arthropoda					
0178cf67e8211c143412300d4a82d2de	k__Animalia	p__Arthropoda	c__Insecta	o__Hymenoptera	f__Ichneumonidae	g__Pristomerus	s__Pristomerus sp. 12MKC
0184d75728022edb5b4c719cc4e5210b	k__Animalia	p__Arthropoda					
018a7acc31b23e6ccd837d47284be7e2	k__Animalia	p__Arthropoda	c__Insecta	o__Lepidoptera	f__Erebidae	g__Hydrillodes	s__Hydrillodes sp.
018d81b8ddbd3914e9d6c98a9669fd5f	k__Animalia	p__Arthropoda	c__Insecta				
01a058bc8e57e3fb22d47c482fb77894	k__Animalia	p__Arthropoda	c__Insecta				
01a91bdd8bfe140f4c8ca5e77fdb9ff6	k__Animalia	p__Arthropoda	c__Insecta	o__Diptera			
01cf443613ecc2eee8b9a72615b5d8ad	k__Animalia	p__Arthropoda					
0206c480e811248ced2c66b87a8464d0	k__Animalia	p__Arthropoda	c__Insecta				
0229448dfbb263a6c11f58c747254003	k__Animalia	p__Arthropoda					
023b31161a9d59b97f546d7f359a4861	k__Animalia	p__Arthropoda	c__Insecta	o__Lepidoptera			
02618bac6fdb490d2dd0d4d05063a334	k__Animalia	p__Arthropoda	c__Insecta	o__Lepidoptera			
0268ec6380dde8328876923ef3a99678	k__Animalia	p__Arthropoda	c__Insecta	o__Lepidoptera			
