"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"0018971043363ee55246259db009e255"	"Animalia"	"Arthropoda"	"Arachnida"	"Sarcoptiformes"	""	""	""
"002198558456ababda169de0a07b37a4"	"Animalia"	"Arthropoda"	""	""	""	""	""
"003dd94a9ced89aca49b6ba5b1345cb2"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"003f059e8311f425a83296c7b8f0ea7d"	"Animalia"	"Arthropoda"	"Insecta"	"Psocodea"	""	""	""
"0053d49428e61052b864ef9dc9fbc4ca"	"Animalia"	"Arthropoda"	""	""	""	""	""
"00631c8cd01a890068d746419ef20c6c"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"0067db6636a8698305a902e3d7d4f772"	"Animalia"	"Arthropoda"	""	""	""	""	""
"006f51e9fe0335db029a582df99f94bb"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"007239c692b714ccbd8203c86f4fe41f"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"0079e8f6a3db0a6f8ab52d621edf42ed"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	""	""	""
"00849e0f85ec9d862d23518943d2f7fb"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"00851b4f884c82006772a564794a7d2d"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Braconidae"	""	""
"009aa31bc2b7956bf6fbae7dc02fc839"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Theridiidae"	"Theridion"	"Theridion grallator"
"00dde915a8e7a5f22b16bb96a28b5e9f"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"00efa17f06dd9738c94f0a74ddc0190b"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0113e203066dff763b12e3bafce9f127"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"012bbd89bc9931bf1d1cf1e0a5a36920"	"Animalia"	"Arthropoda"	""	""	""	""	""
"01349ef17047be45ea6cdaa5ac27251b"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Psyllidae"	""	""
